,Country,Year,PM2.5,Life Expectancy
161,Brazil,2015,11,
162,Brazil,2016,15,
163,Brazil,2016,17,
164,Brazil,2016,17,
165,Brazil,2015,12,
166,Brazil,2016,15,
167,Brazil,2016,17,
168,Brazil,2014,15,
169,Brazil,2014,14,
170,Canada,2015,7,
171,Canada,2015,6,
172,Canada,2015,6,
173,Canada,2015,4,
174,Canada,2015,6,
175,Canada,2015,8,
176,Canada,2015,6,
177,Canada,2015,5,
178,Canada,2015,6,
179,Canada,2015,8,
180,Canada,2015,7,
181,Canada,2015,9,
182,Canada,2015,7,
183,Canada,2015,9,
184,Canada,2015,7,
185,Canada,2015,7,
186,Canada,2015,8,
187,Canada,2015,9,
188,Canada,2015,5,
189,Canada,2015,7,
190,Canada,2015,4,
191,Canada,2015,8,
192,Canada,2015,7,
193,Canada,2015,9,
194,Canada,2015,6,
195,Canada,2015,7,
196,Canada,2015,9,
197,Canada,2015,8,
198,Canada,2013,7,
199,Canada,2015,5,
200,Canada,2015,6,
201,Canada,2015,6,
202,Canada,2015,6,
203,Canada,2015,7,
204,Canada,2015,8,
205,Canada,2015,9,
206,Canada,2015,4,
207,Canada,2015,6,
208,Canada,2015,6,
209,Canada,2015,9,
210,Canada,2015,8,
211,Canada,2015,8,
212,Canada,2015,7,
213,Canada,2015,7,
214,Canada,2015,6,
215,Canada,2015,6,
216,Canada,2015,4,
217,Canada,2015,10,
218,Canada,2015,8,
219,Canada,2015,5,
220,Canada,2015,7,
221,Canada,2015,5,
222,Canada,2015,8,
223,Canada,2015,4,
224,Canada,2015,10,
225,Canada,2015,9,
226,Canada,2015,6,
227,Canada,2015,10,
228,Canada,2015,5,
229,Canada,2015,8,
230,Canada,2015,9,
231,Canada,2015,6,
232,Canada,2015,9,
233,Canada,2015,6,
234,Canada,2015,9,
235,Canada,2015,5,
236,Canada,2015,5,
237,Canada,2015,6,
238,Canada,2015,5,
239,Canada,2015,8,
240,Canada,2015,6,
241,Canada,2015,7,
242,Canada,2015,8,
243,Canada,2015,9,
244,Canada,2015,8,
245,Canada,2015,8,
246,Canada,2015,9,
247,Canada,2015,6,
248,Canada,2015,7,
249,Canada,2015,6,
250,Canada,2015,8,
251,Canada,2015,6,
252,Canada,2015,8,
253,Canada,2013,7,
254,Canada,2015,4,
255,Canada,2015,4,
256,Canada,2015,7,
257,Canada,2015,5,
258,Canada,2015,6,
259,Canada,2013,5,
260,Canada,2015,8,
261,Canada,2015,8,
262,Canada,2015,7,
263,Canada,2015,6,
264,Canada,2015,5,
265,Canada,2015,7,
266,Canada,2015,7,
267,Canada,2015,6,
268,Canada,2015,9,
269,Canada,2015,6,
270,Canada,2015,6,
271,Canada,2015,8,
272,Canada,2015,3,
273,Canada,2015,9,
274,Canada,2015,10,
275,Canada,2015,9,
276,Canada,2015,11,
277,Canada,2015,6,
278,Canada,2015,6,
279,Canada,2015,8,
280,Canada,2015,6,
281,Canada,2015,6,
282,Canada,2015,6,
283,Canada,2015,7,
284,Canada,2015,7,
285,Canada,2015,8,
286,Canada,2015,11,
287,Canada,2015,6,
288,Canada,2015,5,
289,Canada,2015,7,
290,Canada,2015,8,
291,Canada,2015,8,
292,Canada,2015,3,
293,Canada,2015,8,
294,Canada,2015,7,
295,Canada,2015,6,
296,Canada,2015,6,
297,Canada,2015,8,
298,Canada,2015,8,
299,Canada,2015,3,
300,Canada,2015,6,
301,Canada,2015,6,
302,Canada,2015,6,
303,Canada,2015,6,
304,Canada,2015,5,
305,Canada,2013,4,
306,Canada,2015,4,
307,Canada,2015,6,
308,Canada,2015,6,
309,Canada,2015,6,
310,Canada,2015,5,
311,Canada,2015,9,
312,Canada,2013,11,
313,Canada,2013,7,
314,Canada,2015,9,
315,Canada,2015,8,
316,Canada,2015,9,
317,Canada,2015,6,
318,Canada,2015,8,
319,Canada,2015,5,
320,Canada,2015,8,
321,Canada,2015,6,
322,Canada,2015,7,
323,Canada,2015,9,
324,Canada,2015,6,
325,Canada,2015,8,
326,Switzerland,2016,10,
327,Switzerland,2016,12,
328,Switzerland,2016,7,
329,Switzerland,2016,10,
330,Switzerland,2016,11,
331,Switzerland,2016,13,
332,Switzerland,2016,12,
333,Switzerland,2016,8,
334,Switzerland,2016,5,
335,Switzerland,2016,10,
336,Switzerland,2016,10,
337,Chile,2016,9,
338,Chile,2016,11,
339,Chile,2016,31,
340,Chile,2016,33,
341,Chile,2016,11,
342,Chile,2016,26,
343,Chile,2016,67,
344,Chile,2016,26,
345,Chile,2016,14,
346,Chile,2016,15,
347,Chile,2016,18,
348,Chile,2014,64,
349,Chile,2016,28,
350,Chile,2016,35,
351,Chile,2016,9,
352,Chile,2016,29,
353,Chile,2016,29,
354,Chile,2016,26,
355,Chile,2016,32,
356,Chile,2016,33,
357,Chile,2016,20,
358,Chile,2016,44,
359,Chile,2016,49,
360,Chile,2016,32,
361,Chile,2016,26,
362,Chile,2016,27,
363,Chile,2016,5,
364,Chile,2015,30,
365,Chile,2016,22,
366,Chile,2016,28,
367,Chile,2016,29,
368,Chile,2016,25,
369,Chile,2016,24,
370,Chile,2015,25,
371,Chile,2016,35,
372,Chile,2016,16,
373,Chile,2016,41,
374,Chile,2016,15,
375,Chile,2014,16,
376,Chile,2016,20,
377,China,2016,54,
378,China,2015,72,
379,China,2016,27,
380,China,2016,86,
381,China,2016,48,
382,China,2016,50,
383,China,2016,39,
384,China,2016,93,
385,China,2016,59,
386,China,2016,47,
387,China,2016,73,
388,China,2016,45,
389,China,2016,30,
390,China,2016,70,
391,China,2016,58,
392,China,2016,69,
393,China,2016,46,
394,China,2016,56,
395,China,2014,32,
396,China,2016,53,
397,China,2014,49,
398,China,2014,67,
399,China,2016,49,
400,China,2016,33,
401,China,2016,40,
402,China,2016,63,
403,China,2016,41,
404,China,2014,31,
405,China,2016,37,
406,China,2016,54,
407,China,2016,22,
408,China,2016,59,
409,China,2016,39,
410,China,2016,42,
411,China,2015,45,
412,China,2014,42,
413,China,2016,56,
414,China,2016,55,
415,China,2016,81,
416,China,2016,36,
417,China,2016,35,
418,China,2015,79,
419,China,2014,28,
420,China,2016,48,
421,China,2016,24,
422,China,2016,60,
423,China,2016,29,
424,China,2016,38,
425,China,2016,44,
426,China,2014,60,
427,China,2016,27,
428,China,2016,38,
429,China,2016,45,
430,China,2016,46,
431,China,2016,28,
432,China,2016,36,
433,China,2016,38,
434,China,2016,47,
435,China,2016,37,
436,China,2016,37,
437,China,2016,32,
438,China,2016,46,
439,China,2016,21,
440,China,2014,51,
441,China,2016,31,
442,China,2016,27,
443,China,2016,82,
444,China,2016,49,
445,China,2016,52,
446,China,2016,73,
447,China,2016,34,
448,China,2016,57,
449,China,2016,87,
450,China,2016,52,
451,China,2016,32,
452,China,2016,82,
453,China,2016,41,
454,China,2016,23,
455,China,2014,22,
456,China,2016,53,
457,China,2016,42,
458,China,2016,56,
459,China,2014,12,
460,China,2016,51,
461,China,2016,45,
462,China,2016,28,
463,China,2016,57,
464,China,2016,27,
465,China,2016,47,
466,China,2016,47,
467,China,2014,90,
468,China,2015,82,
469,China,2016,34,
470,China,2014,68,
471,China,2014,52,
472,China,2014,52,
