,Year,Unsafe water source (deaths),Poor sanitation (deaths),No access to handwashing facility (deaths),Indoor air pollution (deaths),Non-exclusive breastfeeding (deaths),Discontinued breastfeeding (deaths),Child wasting (deaths),Child stunting (deaths),Low birth weight (deaths),Secondhand smoke (deaths),Alcohol use (deaths),Drug use (deaths),Diet low in fruits (deaths),Diet low in vegetables (deaths),Unsafe sex (deaths),Low physical activity (deaths),High blood sugar (deaths),High cholesterol (deaths),Obesity (deaths),High blood pressure (deaths),Smoking (deaths),Iron deficiency (deaths),Zinc deficiency (deaths),Vitamin-A deficiency (deaths),Low bone mineral density (deaths),Air pollution (outdoor & indoor) (deaths),Outdoor air pollution (deaths),Diet low in fiber (deaths),Diet high in sodium (deaths),Diet low in legumes (deaths),Diet low in calcium (deaths),Diet high in red meat (deaths),Diet low in whole grains (deaths),Diet low in nuts and seeds (deaths),Diet low in seafood omega-3 fatty acids (deaths)
10,2000,7701838.993523751,5856342.429108555,4660310.643346804,10683568.01834054,1573674.4860024364,102576.71262612697,11650598.67135556,3256264.297563954,7731777.147184189,5649972.798759541,11280815.563151639,1942888.9305412376,10499071.491289359,6725104.992140202,6841078.554604611,4585477.126189594,20711170.343523007,10986013.340186061,14269218.577944111,38129947.48033555,30669571.46612534,512502.38544459525,412257.0252443906,3333470.401839941,905966.516370613,22009804.42307996,12060933.44,3261721.63202703,11650845.709813215,2247401.761057835,622933.3504445355,73337.70537810052,11956446.264594939,7640113.837910207,5375490.125709218
11,2001,7502022.726791594,5690059.793288535,4542365.843070704,10439276.99570271,1505309.2996813133,96573.54382375604,11138050.09314647,3088110.097355525,7571868.132697003,5593462.88053905,11457982.679818047,1971594.7591616483,10577114.282280963,6732195.5326166805,7328379.886138227,4646530.569401883,21234642.511212207,0.0,14615973.841062542,38569325.85622264,30809618.461365417,493106.6822548638,382932.5311600105,3139486.227062175,932694.4810928635,21974022.357724242,12259155.68,3295023.8563670944,11719586.017223608,2270967.572320292,633341.0821154801,74617.24468428918,12081242.84384461,7726096.711974705,5432226.358868826
12,2002,7308812.268880506,5528308.203956754,4424918.70730684,10238180.446795454,1437268.275462639,91106.41188484825,10636992.03880344,2917934.420693279,7419260.03503835,5570155.7502342565,11744681.635541756,2013819.796409634,10734386.668604642,6794723.737266538,7776770.149601941,4750345.357552828,22053893.297438946,0.0,15118450.514715474,39323821.14522271,31113871.117615312,472458.707762877,357612.754574612,2932141.955981834,971432.2240033185,22049451.74413772,12531155.54,3359281.6652987073,11919726.23737143,2321035.7329961876,648336.7701226755,76443.1357993201,12306765.018342804,7887004.683706589,5538975.721486699
13,2003,7124984.004925035,5372627.074442386,4314130.177082648,10031100.67407766,1373697.2914054093,86346.2097126262,9759773.45207011,2743922.2090777154,7291771.8770272015,5541472.316563,12001892.267106773,2058023.658017895,10851252.696986422,6830288.770039356,8171347.105353816,4845588.543640884,22894034.045562208,0.0,15573606.561867572,39968997.38152075,31397219.39354014,450735.74556230044,337394.6566650029,2714729.1895985333,1016520.6104048969,22103181.445933733,12786338.350000001,3416622.122978076,12158798.248213787,2361275.36263374,663778.9031376108,78297.98001471486,12486978.356579497,8028386.4989350615,5627288.803662001
14,2004,6976109.052099345,5238015.145280853,4220624.875656819,9749272.379208706,1317140.9851565072,82571.11730827912,9317788.65864058,2579840.8951271875,7134548.354605098,5455002.558806409,12129342.426346526,2102384.45956512,10820415.41989543,6750508.370293021,8452284.977565588,4843817.162221415,23329150.511808723,0.0,15780340.592398634,39939397.06997427,31165097.504541837,436861.3210046538,320580.5221394921,2514139.0489079393,1047142.2855205216,21874984.85859067,12821477.99,3419993.044717854,12264085.971520025,2359716.0308928657,671729.8520239748,78908.2384270686,12462978.304044615,8025643.59527383,5617708.52611963
15,2005,6865476.074911224,5130141.823475241,4149715.552043858,9500089.341701183,1262989.2968904602,79055.6852316165,8907025.714513367,2425376.443472444,6983056.728309881,5404339.014318356,12336920.725466093,2171986.3000486954,10841316.910223931,6745639.22325161,8627795.19084707,4924158.687541252,23956316.615455113,11763567.87520663,16222220.142722065,40467685.94877837,31174654.283320874,428930.3420038429,305312.20215262927,2339972.0508807003,1086950.6672300564,21744660.108901523,12921897.95,3474642.61936531,12342716.336782627,2395716.1239397572,685647.8594980882,80753.51609700758,12589617.468250131,8164179.451947327,5697226.902887873
16,2006,6811544.579031048,5060623.046025729,4112678.5653471993,9229751.018390432,1226621.166847088,76838.82791194427,8548609.404559895,2259657.314555852,6832712.404556405,5283466.675700525,12233001.371014481,2193529.8585095494,10628494.096201641,6620262.613112239,8667989.131988185,4899116.706504827,24113527.520322062,11766654.551582122,16345726.514881775,40272974.34929775,30736099.836241916,413799.2362789086,290162.08177032287,2162860.6016982296,1115023.5267273178,21545103.77870756,12973743.2,3466098.699777033,12224476.135950293,2353132.632181417,693707.2837981303,81817.12670583939,12434723.691956017,8138826.626353132,5670883.464783194
17,2007,6721628.657216936,4959911.096112565,4052024.7558223866,9025583.904477563,1180754.2329686647,74919.34366369933,8182879.176100479,2100950.3740654206,6683263.942495487,5232843.4516104255,12302103.822692558,2222160.6243764865,10572079.815138778,6574341.404563127,8560915.498654868,4944791.39320983,24470595.92955532,0.0,16699220.47555123,40631434.80765475,30736439.14124405,398130.8975647148,274578.8117324085,2011721.9021313027,1146760.8145318818,21566678.396400306,13193521.639999999,3499894.0964252893,12330504.978934743,2351507.0833837753,707640.9535910641,84388.35916626205,12463374.801742844,8211464.7663918715,5712928.106916659
18,2008,6662669.447385184,4870390.474140542,3997093.41276063,8860514.555110613,1142773.8372061062,74445.07116152917,7859204.2580406265,1969076.3778001247,6542613.369186837,5246947.928583249,12573883.570656098,2266376.6056323634,10649562.317410424,6610409.596713892,8334735.493271098,5056854.401035739,25045947.97471036,0.0,17263725.348559856,41527351.31837122,31023618.082143042,384335.39018168463,260387.27310787523,1911456.7446206333,1180144.8466907116,21759551.861443363,13554325.91,3572514.750668117,12624181.233552696,2383983.133106332,726593.7584957362,87492.47399080575,12651178.458682988,8382395.09095223,5819265.675115531
19,2009,6653716.265963184,4816860.327735321,3970046.2882212084,8719121.655377869,1111261.159213232,75011.59986244986,7601034.767166827,1860042.6919308011,6405822.41150016,5267455.852028552,12589788.51489596,2295703.913492626,10710187.639963234,6628585.406955253,8078041.3281909395,5137666.940562891,25518398.896479085,0.0,17729632.200330976,42262652.50129379,31223770.197201625,373096.04533970216,247689.52391529927,1833660.9164546272,1206818.9991943764,21941073.40339495,13884274.919999998,3627837.300682123,12955696.031700023,2389636.8456394514,743725.4231406967,90111.78304401363,12773974.69520602,8490891.089897014,5903057.975034255
20,2010,6621631.925166807,4745128.085884124,3929997.6451967806,8582025.637153573,1076704.7439286092,75137.6174121487,7399312.131077288,1769256.3350615469,6266396.776965737,5318086.905730808,12817486.100803569,2328644.159777793,10813841.932425994,6675748.524185346,7670011.6186667,5255551.796280423,26066476.955309875,12340134.955947101,18252032.734315623,43267808.83527462,31562270.442091882,362235.07717564574,234508.32570702222,1778024.598770258,1238466.2834285782,22143912.91494284,14231061.370000001,3705309.750008531,13355033.417785842,2423640.2340899995,762181.1140412658,92831.19167696199,12990533.054832168,8674888.732548926,6027222.407753904
21,2011,6377093.8650162555,4518177.93412886,3792403.996885828,8404999.613045612,1027931.4175376062,70558.81433899957,7021429.577718618,1660944.6295358336,6120944.402458955,5350532.082297463,12676662.409401242,2365417.338056456,10834667.024428587,6671855.244506517,7236002.076362462,5332284.300565275,26595854.402211584,0.0,18679453.423985384,43976497.64327054,31762629.702080514,347901.1578159691,213933.28593708822,1685376.544689569,1274014.5274748784,22332149.201512255,14598725.200000003,3758542.417272014,13651449.455701917,2430490.3919868725,779320.3643609309,96138.3583163124,13128327.191260789,8796919.239070043,6111825.338508846
22,2012,6120634.078876598,4274929.819760375,3652465.1303215516,8356688.211681131,975504.6624147648,66808.9085766217,6615412.91540909,1548385.0634523793,5969823.25570005,5381715.430609887,12742261.524835762,2405208.5944195404,10891447.28640236,6677889.106094138,6787919.775142043,5414468.207127992,27191436.832688704,0.0,19215901.376155,44757802.42017094,31971578.29340606,325770.3511501176,196211.31576311687,1579099.6325017677,1309468.3785341994,22151327.962588012,14452755.260000002,3808636.3554565553,13931431.750506649,2443597.8130012862,795694.6274060368,99750.9735530391,13297264.016169427,8926180.812050808,6199897.278691762
23,2013,5885128.811392765,4032302.286323898,3515254.743112033,8117048.415893668,922237.9390229832,62728.73041164207,6244830.435913083,1428001.8164182662,5788735.462235691,5390221.356529476,12762215.46063542,2460552.523255013,10886196.084965225,6658659.575032227,6364003.755508586,5473981.352907781,27716871.363504346,0.0,19732909.288125247,45314744.01675682,32008928.63456443,309802.08528706897,179675.25502944543,1461577.5371774323,1349962.2588914302,22116427.090196192,14654312.24,3843158.6276088273,14069817.095468182,2454921.454787477,810341.1304544514,103304.15470868094,13400480.9510413,9014736.394559138,6254508.349474097
24,2014,5707122.040485889,3820924.254825072,3402465.8878764487,7997637.973716676,870220.5402938572,57755.102925514155,5883273.259410489,1307262.6143712467,5606174.138383442,5479004.107301113,12926484.02014643,2551856.238022632,11046352.307255054,6700163.7928353185,5949836.09764583,5579801.829957577,28453462.61273401,0.0,20429904.50529852,46348440.11217339,32453159.338860184,298178.9289110667,165149.43549319264,1339619.5331226864,1398842.4908932121,22135961.860906098,14796062.829999998,3906794.1327278707,14470457.255514221,2483779.1450813217,832278.864418206,108116.78472665328,13647795.37003012,9149838.996790424,6350932.775049845
25,2015,5541678.298603093,3630487.2863983717,3302181.6621361687,7824859.903053811,823767.4069734975,52800.943116839015,5578013.355963968,1204705.954307385,5417870.220349576,5608681.989670646,13254363.975301873,2661547.9019745956,11296083.598911257,6807947.732952314,5667558.738130763,5763266.842861816,29471606.5962488,0.0,21330182.31297118,47841484.66055575,33294644.115341295,285584.3749753974,152622.55842548434,1241075.9765041803,1453915.6620878363,22607128.695464894,15457300.389999999,4016407.376957421,14992432.620563509,2559935.91338953,860656.8400864528,114340.4242813935,14048260.736375382,9417787.397719905,6534672.191110102
26,2016,5432508.505549245,3497090.072354074,3231485.1057775337,7789693.147635567,779959.9106535933,48813.47828331389,5288990.342517512,1111079.925478293,5203949.331427211,5691113.690727904,13457610.278089765,2776982.157877583,11442761.029301781,6874173.78693637,5389304.158715345,5889846.28907064,30304198.874968655,13598601.197456239,22030056.880047172,48870340.78421806,33818770.21639811,278974.79327008745,142077.7408599751,1152887.0086703307,1496160.0135493013,22531287.820525333,15420943.030000001,4083878.5845401892,15395092.598087002,2589553.155124748,883012.7218881929,120172.43440578778,14299569.253998874,9578713.715308608,6639598.50949467
27,2017,5482770.209474251,3476151.1468125456,3222526.6474281093,7532640.332870216,748957.6848808978,46977.04313201901,5061946.769750705,1031873.7859644399,5005857.124530545,5734605.893716121,13573212.756655663,2836010.085194622,11449963.635070581,6886240.089217925,5027739.221486516,5983147.64200614,30881282.210787218,0.0,22526715.16717692,49546564.50664292,34065055.65710603,273463.4299527996,134362.1114548818,1088283.271808427,1525226.381969383,22673056.124109663,14826707.46,4121768.1986587225,15548590.761071583,2613480.0659758234,896699.5530608974,124263.61565857014,14414353.323523369,9667357.802398123,6689803.262431944
