,Year,Age,Value
3568,2013,43965,105.9920859
3569,2014,<5,1983.693252
3570,2014,>70,1228.379591
3571,2014,50-69,1444.822602
3572,2014,43965,105.192333
3573,2015,<5,1947.302631
3574,2015,>70,1256.653053
3575,2015,50-69,1493.970368
3576,2015,43965,102.1150426
3577,2016,<5,1863.997617
3578,2016,>70,1280.312411
3579,2016,50-69,1533.969993
3580,2016,43965,97.7033634
3581,2017,<5,1854.477713
3582,2017,>70,1306.555531
3583,2017,50-69,1579.813113
3584,2017,43965,99.15640597
3585,1990,<5,8868.157252
3586,1990,>70,2392.088122
3587,1990,50-69,2637.032164
3588,1990,43965,176.7521848
3589,1991,<5,8663.101913
3590,1991,>70,2419.908581
3591,1991,50-69,2630.396973
3592,1991,43965,177.0525894
3593,1992,<5,8444.030167
3594,1992,>70,2447.742287
3595,1992,50-69,2624.545921
3596,1992,43965,177.9293913
3597,1993,<5,8232.843894
3598,1993,>70,2486.244539
3599,1993,50-69,2624.626866
3600,1993,43965,178.9382682
3601,1994,<5,7974.668778
3602,1994,>70,2536.113969
3603,1994,50-69,2639.165422
3604,1994,43965,179.477612
3605,1995,<5,7632.855538
3606,1995,>70,2576.260538
3607,1995,50-69,2640.503495
3608,1995,43965,178.9676676
3609,1996,<5,7244.847615
3610,1996,>70,2602.980417
3611,1996,50-69,2617.098897
3612,1996,43965,175.9450656
3613,1997,<5,6844.122652
3614,1997,>70,2640.310688
3615,1997,50-69,2605.318315
3616,1997,43965,171.6586706
3617,1998,<5,6421.612063
3618,1998,>70,2669.686613
3619,1998,50-69,2601.075695
3620,1998,43965,166.6191655
3621,1999,<5,5964.915408
3622,1999,>70,2705.456393
3623,1999,50-69,2588.555191
3624,1999,43965,159.6415662
3625,2000,<5,5454.19316
3626,2000,>70,2733.708259
3627,2000,50-69,2569.014936
3628,2000,43965,150.2607416
3629,2001,<5,4973.831151
3630,2001,>70,2767.630961
3631,2001,50-69,2551.349548
3632,2001,43965,141.853948
3633,2002,<5,4545.57163
3634,2002,>70,2771.099242
3635,2002,50-69,2506.202641
3636,2002,43965,134.6944852
3637,2003,<5,4111.255725
3638,2003,>70,2797.210704
3639,2003,50-69,2492.341259
3640,2003,43965,124.8179474
3641,2004,<5,3708.686588
3642,2004,>70,2831.582964
3643,2004,50-69,2484.955656
3644,2004,43965,114.8523153
3645,2005,<5,3305.650895
3646,2005,>70,2848.416263
3647,2005,50-69,2458.493517
3648,2005,43965,104.5818139
3649,2006,<5,2979.030627
3650,2006,>70,2877.921019
3651,2006,50-69,2438.39651
3652,2006,43965,95.6861533
3653,2007,<5,2666.957335
3654,2007,>70,2910.343467
3655,2007,50-69,2426.620661
3656,2007,43965,88.01167783
3657,2008,<5,2394.571783
3658,2008,>70,2945.069071
3659,2008,50-69,2423.320937
3660,2008,43965,81.26865345
3661,2009,<5,2165.329674
3662,2009,>70,2999.91769
3663,2009,50-69,2438.685644
3664,2009,43965,75.75931644
3665,2010,<5,1969.528685
3666,2010,>70,3049.686692
3667,2010,50-69,2455.846333
3668,2010,43965,70.80098712
3669,2011,<5,1786.569256
3670,2011,>70,3104.000658
3671,2011,50-69,2486.747268
3672,2011,43965,66.27472668
3673,2012,<5,1658.994796
3674,2012,>70,3145.933315
3675,2012,50-69,2509.220945
3676,2012,43965,63.00278514
3677,2013,<5,1520.120894
3678,2013,>70,3210.489884
3679,2013,50-69,2574.415084
3680,2013,43965,59.37131419
3681,2014,<5,1439.485241
3682,2014,>70,3308.569543
3683,2014,50-69,2657.83026
3684,2014,43965,57.49524372
3685,2015,<5,1331.89723
3686,2015,>70,3411.609301
3687,2015,50-69,2744.455584
3688,2015,43965,55.11014071
3689,2016,<5,1225.167192
3690,2016,>70,3511.356993
3691,2016,50-69,2824.442525
3692,2016,43965,52.58167652
3693,2017,<5,1127.231557
3694,2017,>70,3602.537565
3695,2017,50-69,2887.188008
3696,2017,43965,49.92308368
3697,1990,<5,3167.978828
3698,1990,>70,1616.020098
3699,1990,50-69,1490.94372
3700,1990,43965,95.48697574
3701,1991,<5,3183.72351
3702,1991,>70,1633.216037
3703,1991,50-69,1520.088279
3704,1991,43965,99.1999434
3705,1992,<5,3235.900309
3706,1992,>70,1674.101815
3707,1992,50-69,1575.809134
3708,1992,43965,103.9339315
3709,1993,<5,3260.325132
3710,1993,>70,1710.573615
3711,1993,50-69,1632.426962
3712,1993,43965,108.1868457
3713,1994,<5,3261.094918
3714,1994,>70,1759.557533
3715,1994,50-69,1696.67161
3716,1994,43965,111.6605884
3717,1995,<5,3246.256453
3718,1995,>70,1814.941737
3719,1995,50-69,1763.736365
3720,1995,43965,114.5065537
3721,1996,<5,3254.638339
3722,1996,>70,1881.01449
3723,1996,50-69,1825.864086
3724,1996,43965,116.3906287
3725,1997,<5,3248.046913
3726,1997,>70,1959.675723
3727,1997,50-69,1895.454127
3728,1997,43965,117.8301209
3729,1998,<5,3209.838867
3730,1998,>70,2030.446043
3731,1998,50-69,1954.290758
3732,1998,43965,116.9406497
3733,1999,<5,3211.494713
3734,1999,>70,2117.279987
3735,1999,50-69,2024.664799
3736,1999,43965,117.1765054
3737,2000,<5,3241.313692
3738,2000,>70,2224.020755
3739,2000,50-69,2118.306445
3740,2000,43965,118.5736192
3741,2001,<5,3163.097829
3742,2001,>70,2289.648418
3743,2001,50-69,2162.645979
3744,2001,43965,113.6294041
3745,2002,<5,3284.932209
3746,2002,>70,2355.898446
3747,2002,50-69,2203.544146
3748,2002,43965,117.1699286
3749,2003,<5,3242.440858
3750,2003,>70,2452.210446
3751,2003,50-69,2263.244158
3752,2003,43965,115.4884069
3753,2004,<5,3174.706448
3754,2004,>70,2542.147401
3755,2004,50-69,2319.562079
3756,2004,43965,113.6910871
3757,2005,<5,3113.374236
3758,2005,>70,2611.355669
3759,2005,50-69,2363.99933
3760,2005,43965,114.3212472
3761,2006,<5,3099.13496
3762,2006,>70,2640.941967
3763,2006,50-69,2371.072664
3764,2006,43965,119.4325376
3765,2007,<5,3032.556832
3766,2007,>70,2669.729665
3767,2007,50-69,2380.452246
3768,2007,43965,122.3150948
3769,2008,<5,3034.875559
3770,2008,>70,2714.094661
3771,2008,50-69,2391.623003
3772,2008,43965,130.1962876
3773,2009,<5,3085.678671
3774,2009,>70,2737.090293
3775,2009,50-69,2386.387679
3776,2009,43965,141.1104548
3777,2010,<5,3073.613582
3778,2010,>70,2762.692853
3779,2010,50-69,2389.519061
3780,2010,43965,148.6681958
3781,2011,<5,2893.560282
3782,2011,>70,2764.345414
3783,2011,50-69,2390.799461
3784,2011,43965,148.2959092
3785,2012,<5,2640.562918
3786,2012,>70,2684.850356
3787,2012,50-69,2315.953379
3788,2012,43965,140.8418667
3789,2013,<5,2463.989898
3790,2013,>70,2679.230114
3791,2013,50-69,2302.909185
3792,2013,43965,136.4962317
3793,2014,<5,2225.995188
3794,2014,>70,2628.14765
3795,2014,50-69,2248.6896
3796,2014,43965,128.8326665
3797,2015,<5,1872.701646
3798,2015,>70,2389.588411
3799,2015,50-69,2029.73086
3800,2015,43965,112.581057
3801,2016,<5,1768.171182
3802,2016,>70,2356.159606
3803,2016,50-69,1991.285745
3804,2016,43965,111.3197983
3805,2017,<5,1582.192701
3806,2017,>70,2283.857688
3807,2017,50-69,1942.738018
3808,2017,43965,102.9700208
3809,1990,<5,0.048046104
3810,1990,>70,32.5790052
3811,1990,50-69,13.85579811
3812,1990,43965,0.008243087
3813,1991,<5,0.041505821
3814,1991,>70,31.33929147
3815,1991,50-69,12.79921773
3816,1991,43965,0.007563368
3817,1992,<5,0.036378706
3818,1992,>70,30.27771198
3819,1992,50-69,11.78436163
3820,1992,43965,0.006947424
3821,1993,<5,0.035402015
3822,1993,>70,30.05999991
3823,1993,50-69,11.22780009
3824,1993,43965,0.006404282
3825,1994,<5,0.03226892
3826,1994,>70,29.0862942
3827,1994,50-69,10.39398002
3828,1994,43965,0.006175392
3829,1995,<5,0.02677227
3830,1995,>70,27.71462343
3831,1995,50-69,9.543486211
3832,1995,43965,0.005722988
3833,1996,<5,0.0225105
3834,1996,>70,26.84652314
3835,1996,50-69,8.856125895
3836,1996,43965,0.00493232
3837,1997,<5,0.02033844
3838,1997,>70,25.8211031
3839,1997,50-69,8.226884517
3840,1997,43965,0.00490654
3841,1998,<5,0.018000582
3842,1998,>70,25.19065502
3843,1998,50-69,7.724611367
3844,1998,43965,0.004449707
3845,1999,<5,0.016512207
3846,1999,>70,23.68349463
3847,1999,50-69,7.119802258
3848,1999,43965,0.003802751
3849,2000,<5,0.01410524
3850,2000,>70,22.23047274
3851,2000,50-69,6.572276623
3852,2000,43965,0.003056119
3853,2001,<5,0.014114229
3854,2001,>70,21.60019462
3855,2001,50-69,6.296471739
3856,2001,43965,0.002778956
3857,2002,<5,0.01352595
3858,2002,>70,21.07544117
3859,2002,50-69,6.054071109
3860,2002,43965,0.002605808
3861,2003,<5,0.012791759
3862,2003,>70,20.29458706
3863,2003,50-69,5.802931637
3864,2003,43965,0.002333024
3865,2004,<5,0.011850755
3866,2004,>70,19.0374825
3867,2004,50-69,5.423092041
3868,2004,43965,0.002077201
3869,2005,<5,0.011713455
3870,2005,>70,18.4380779
3871,2005,50-69,5.244709498
3872,2005,43965,0.002129007
3873,2006,<5,0.010995945
3874,2006,>70,17.66966656
3875,2006,50-69,5.068040516
3876,2006,43965,0.002077573
3877,2007,<5,0.01142969
3878,2007,>70,17.65848068
3879,2007,50-69,5.190818106
3880,2007,43965,0.002068995
3881,2008,<5,0.010598138
3882,2008,>70,17.00754128
3883,2008,50-69,5.062823307
3884,2008,43965,0.001857963
3885,2009,<5,0.00982873
3886,2009,>70,16.34015606
3887,2009,50-69,4.926700959
3888,2009,43965,0.001681352
3889,2010,<5,0.009040829
3890,2010,>70,15.10569872
3891,2010,50-69,4.568470929
3892,2010,43965,0.001422461
3893,2011,<5,0.008483805
3894,2011,>70,14.64139644
3895,2011,50-69,4.429200228
3896,2011,43965,0.001410404
3897,2012,<5,0.008379746
3898,2012,>70,14.45756759
3899,2012,50-69,4.47057682
3900,2012,43965,0.001299204
3901,2013,<5,0.008706661
3902,2013,>70,13.97511426
3903,2013,50-69,4.326540253
3904,2013,43965,0.001323008
3905,2014,<5,0.007667007
3906,2014,>70,13.75610949
3907,2014,50-69,4.323697266
3908,2014,43965,0.001278496
3909,2015,<5,0.007459076
3910,2015,>70,13.84466661
3911,2015,50-69,4.357872598
3912,2015,43965,0.001262065
3913,2016,<5,0.006695938
3914,2016,>70,13.32852455
3915,2016,50-69,4.132624016
3916,2016,43965,0.00113629
3917,2017,<5,0.006516073
3918,2017,>70,13.65878028
3919,2017,50-69,4.101864363
3920,2017,43965,0.001124219
3921,1990,<5,30.24315145
3922,1990,>70,94.35528293
3923,1990,50-69,37.14305424
3924,1990,43965,1.610289575
3925,1991,<5,27.98192769
3926,1991,>70,94.15826985
3927,1991,50-69,37.29003911
3928,1991,43965,1.494102261
3929,1992,<5,27.54236182
3930,1992,>70,93.09252722
3931,1992,50-69,36.93355667
3932,1992,43965,1.460206131
3933,1993,<5,27.92796188
3934,1993,>70,92.17332745
3935,1993,50-69,36.78904641
3936,1993,43965,1.574671924
3937,1994,<5,29.09725561
3938,1994,>70,90.67124999
3939,1994,50-69,36.293871
3940,1994,43965,1.614951172
3941,1995,<5,30.44134594
3942,1995,>70,88.99380326
3943,1995,50-69,35.64371656
3944,1995,43965,1.561437686
3945,1996,<5,33.30083215
3946,1996,>70,88.6156617
3947,1996,50-69,35.5272807
3948,1996,43965,1.65961735
3949,1997,<5,33.56473914
3950,1997,>70,86.58816488
3951,1997,50-69,34.11274553
3952,1997,43965,1.60631393
3953,1998,<5,31.21301713
3954,1998,>70,85.46174393
3955,1998,50-69,32.72390123
3956,1998,43965,1.496110894
3957,1999,<5,30.05534949
3958,1999,>70,84.5414781
3959,1999,50-69,31.18730845
3960,1999,43965,1.45378789
3961,2000,<5,25.71105694
3962,2000,>70,82.92021678
3963,2000,50-69,29.16183796
3964,2000,43965,1.312258976
3965,2001,<5,23.08463375
3966,2001,>70,83.20247612
3967,2001,50-69,28.25674807
3968,2001,43965,1.227872463
3969,2002,<5,20.72249196
3970,2002,>70,83.23692069
3971,2002,50-69,27.20106653
3972,2002,43965,1.14934116
3973,2003,<5,17.92854575
3974,2003,>70,84.05443493
3975,2003,50-69,26.33727087
3976,2003,43965,1.052106221
3977,2004,<5,15.35694138
3978,2004,>70,84.18038152
3979,2004,50-69,25.22001942
3980,2004,43965,0.953285937
3981,2005,<5,13.20287113
3982,2005,>70,84.75473157
3983,2005,50-69,24.2497713
3984,2005,43965,0.867839751
3985,2006,<5,11.94759463
3986,2006,>70,84.7115277
3987,2006,50-69,23.30149855
3988,2006,43965,0.822232005
3989,2007,<5,10.44573458
3990,2007,>70,84.43435484
3991,2007,50-69,22.17686254
3992,2007,43965,0.732850577
3993,2008,<5,9.015041871
3994,2008,>70,84.62599497
3995,2008,50-69,21.67157728
3996,2008,43965,0.65938267
3997,2009,<5,7.819949508
3998,2009,>70,85.32168184
3999,2009,50-69,21.69598278
4000,2009,43965,0.601179982
4001,2010,<5,7.308346042
4002,2010,>70,85.3075952
4003,2010,50-69,21.84991808
4004,2010,43965,0.576247552
4005,2011,<5,6.132909658
4006,2011,>70,82.33349406
4007,2011,50-69,21.71456785
4008,2011,43965,0.502275962
4009,2012,<5,5.848925641
4010,2012,>70,80.59506489
4011,2012,50-69,22.08390684
4012,2012,43965,0.477984333
4013,2013,<5,5.225201905
4014,2013,>70,79.94943531
4015,2013,50-69,22.77580224
4016,2013,43965,0.447090779
4017,2014,<5,4.949024323
4018,2014,>70,78.68616824
4019,2014,50-69,23.33194934
4020,2014,43965,0.428980909
4021,2015,<5,4.24013172
4022,2015,>70,73.25303536
4023,2015,50-69,22.44328827
4024,2015,43965,0.380203635
4025,2016,<5,3.85082228
4026,2016,>70,74.53742244
4027,2016,50-69,24.16193638
4028,2016,43965,0.361877612
4029,2017,<5,3.453339927
4030,2017,>70,71.71881273
4031,2017,50-69,24.52444802
4032,2017,43965,0.332438738
4033,1990,<5,3450.067094
4034,1990,>70,3455.629369
4035,1990,50-69,3312.187884
4036,1990,43965,106.7100748
4037,1991,<5,3316.654159
4038,1991,>70,3422.609703
4039,1991,50-69,3272.42205
4040,1991,43965,104.0137204
4041,1992,<5,3174.525739
4042,1992,>70,3432.468316
4043,1992,50-69,3236.592159
4044,1992,43965,100.9676305
4045,1993,<5,3056.422568
4046,1993,>70,3464.966332
4047,1993,50-69,3253.726633
4048,1993,43965,98.7392476
4049,1994,<5,2933.100255
4050,1994,>70,3465.309116
4051,1994,50-69,3247.352851
4052,1994,43965,96.62891707
4053,1995,<5,2873.331115
4054,1995,>70,3452.889384
4055,1995,50-69,3222.487969
4056,1995,43965,93.77717977
4057,1996,<5,2815.469672
4058,1996,>70,3420.251841
4059,1996,50-69,3163.703829
4060,1996,43965,90.34831974
4061,1997,<5,2781.783932
4062,1997,>70,3380.104357
4063,1997,50-69,3114.093696
4064,1997,43965,87.31137745
4065,1998,<5,2668.889331
4066,1998,>70,3363.728493
4067,1998,50-69,3072.153313
4068,1998,43965,83.63300748
4069,1999,<5,2555.87109
4070,1999,>70,3362.15
4071,1999,50-69,3034.048193
4072,1999,43965,80.48299867
4073,2000,<5,2422.189056
4074,2000,>70,3315.260078
4075,2000,50-69,2965.334298
4076,2000,43965,76.62941048
4077,2001,<5,2315.42487
4078,2001,>70,3321.146745
4079,2001,50-69,2936.407709
4080,2001,43965,73.7459101
4081,2002,<5,2232.877018
4082,2002,>70,3280.861602
4083,2002,50-69,2895.159414
4084,2002,43965,71.22598065
4085,2003,<5,2166.763083
4086,2003,>70,3298.217446
4087,2003,50-69,2897.98611
4088,2003,43965,69.32088059
4089,2004,<5,2107.658615
4090,2004,>70,3320.891269
4091,2004,50-69,2884.448209
4092,2004,43965,67.65463429
4093,2005,<5,2059.708154
4094,2005,>70,3327.353142
4095,2005,50-69,2869.129523
4096,2005,43965,66.10771226
4097,2006,<5,2028.543628
4098,2006,>70,3330.587656
4099,2006,50-69,2868.926151
4100,2006,43965,64.94581699
4101,2007,<5,1963.311375
4102,2007,>70,3330.287797
4103,2007,50-69,2875.398858
4104,2007,43965,63.21918292
4105,2008,<5,1915.123228
4106,2008,>70,3360.488089
4107,2008,50-69,2879.548597
4108,2008,43965,61.77154053
4109,2009,<5,1858.29906
4110,2009,>70,3367.087805
4111,2009,50-69,2889.965961
4112,2009,43965,60.40434881
4113,2010,<5,1803.387812
4114,2010,>70,3317.924549
4115,2010,50-69,2879.536246
4116,2010,43965,58.88321855
4117,2011,<5,1729.939641
4118,2011,>70,3233.517811
4119,2011,50-69,2860.992941
4120,2011,43965,57.33385114
4121,2012,<5,1663.195368
4122,2012,>70,3299.124321
4123,2012,50-69,2935.402781
4124,2012,43965,56.30464148
4125,2013,<5,1604.280522
4126,2013,>70,3361.977197
4127,2013,50-69,3006.98651
4128,2013,43965,55.53495996
4129,2014,<5,1536.784866
4130,2014,>70,3426.308067
4131,2014,50-69,3077.868386
4132,2014,43965,53.89684194
4133,2015,<5,1444.327985
4134,2015,>70,3449.272213
4135,2015,50-69,3124.021004
4136,2015,43965,51.10525329
4137,2016,<5,1365.469135
4138,2016,>70,3471.180774
4139,2016,50-69,3182.216321
4140,2016,43965,49.36683386
4141,2017,<5,1295.130827
4142,2017,>70,3475.477921
4143,2017,50-69,3193.783113
4144,2017,43965,47.78609959
4145,1990,<5,1499.549415
4146,1990,>70,490.0468413
4147,1990,50-69,875.0451562
4148,1990,43965,36.49525278
4149,1991,<5,1515.432335
4150,1991,>70,500.4802737
4151,1991,50-69,878.3462952
4152,1991,43965,39.2671024
4153,1992,<5,1533.702535
4154,1992,>70,507.3834285
4155,1992,50-69,870.7705381
4156,1992,43965,40.59119169
4157,1993,<5,1569.02368
4158,1993,>70,527.0958231
4159,1993,50-69,892.9390953
4160,1993,43965,43.97639531
4161,1994,<5,1591.629991
4162,1994,>70,535.4655323
4163,1994,50-69,898.8816194
4164,1994,43965,44.88152559
4165,1995,<5,1626.048432
4166,1995,>70,545.0144106
4167,1995,50-69,906.355772
4168,1995,43965,44.78693309
4169,1996,<5,1659.385976
4170,1996,>70,555.8564085
4171,1996,50-69,923.9243872
4172,1996,43965,47.3482312
4173,1997,<5,1683.044862
4174,1997,>70,562.432934
4175,1997,50-69,929.6918534
4176,1997,43965,46.96836978
4177,1998,<5,1691.304251
4178,1998,>70,566.1927387
4179,1998,50-69,938.0396656
4180,1998,43965,49.09852385
4181,1999,<5,1703.268637
4182,1999,>70,572.3868928
4183,1999,50-69,954.2436935
4184,1999,43965,51.54734458
4185,2000,<5,1705.65832
4186,2000,>70,579.110916
4187,2000,50-69,966.5520547
4188,2000,43965,50.63004727
4189,2001,<5,1707.737434
4190,2001,>70,579.7813634
4191,2001,50-69,966.1065376
4192,2001,43965,50.56361764
4193,2002,<5,1707.973025
4194,2002,>70,583.2173104
4195,2002,50-69,971.421011
4196,2002,43965,51.3773013
4197,2003,<5,1725.557941
4198,2003,>70,590.2269977
4199,2003,50-69,978.035947
4200,2003,43965,51.09832015
4201,2004,<5,1730.772111
4202,2004,>70,598.0134086
4203,2004,50-69,983.6116673
4204,2004,43965,50.68363349
4205,2005,<5,1739.56854
4206,2005,>70,606.4677241
4207,2005,50-69,991.2491039
4208,2005,43965,50.91675437
4209,2006,<5,1817.338664
4210,2006,>70,612.5902084
4211,2006,50-69,995.5595729
4212,2006,43965,54.22146021
4213,2007,<5,1833.069388
4214,2007,>70,617.8955336
4215,2007,50-69,996.0235322
4216,2007,43965,53.57330524
4217,2008,<5,1845.156162
4218,2008,>70,626.9513385
4219,2008,50-69,1004.935414
4220,2008,43965,52.72216545
4221,2009,<5,1855.89869
4222,2009,>70,635.9746619
4223,2009,50-69,1024.805106
4224,2009,43965,53.70723192
4225,2010,<5,1810.255411
4226,2010,>70,641.0282475
4227,2010,50-69,1044.666039
4228,2010,43965,55.81525876
4229,2011,<5,1694.799243
4230,2011,>70,644.0366834
4231,2011,50-69,1056.163673
4232,2011,43965,55.01887809
4233,2012,<5,1571.454787
4234,2012,>70,636.602732
4235,2012,50-69,1044.966889
4236,2012,43965,51.69707366
4237,2013,<5,1524.207855
4238,2013,>70,651.8739076
4239,2013,50-69,1078.428779
4240,2013,43965,51.53925736
4241,2014,<5,1490.99934
4242,2014,>70,665.2534354
4243,2014,50-69,1105.129307
4244,2014,43965,50.49238273
4245,2015,<5,1405.604177
4246,2015,>70,658.3594202
4247,2015,50-69,1101.173628
4248,2015,43965,49.10406544
4249,2016,<5,1342.206957
4250,2016,>70,664.6321796
4251,2016,50-69,1125.320111
4252,2016,43965,48.29066588
4253,2017,<5,1308.953243
4254,2017,>70,670.9131629
4255,2017,50-69,1149.490717
4256,2017,43965,48.08232353
4257,1990,<5,8778.977195
4258,1990,>70,9273.490795
4259,1990,50-69,8094.842899
4260,1990,43965,311.4902236
4261,1991,<5,8153.978405
4262,1991,>70,9349.148173
4263,1991,50-69,8495.506796
4264,1991,43965,306.7444723
4265,1992,<5,7722.19914
4266,1992,>70,9616.356555
4267,1992,50-69,8978.726614
4268,1992,43965,323.1977193
4269,1993,<5,7293.209253
4270,1993,>70,9877.17709
4271,1993,50-69,9465.355221
4272,1993,43965,353.4532761
4273,1994,<5,6860.59757
4274,1994,>70,10101.28349
4275,1994,50-69,9824.369875
4276,1994,43965,383.7767731
4277,1995,<5,6432.878599
4278,1995,>70,10012.96767
4279,1995,50-69,9741.416145
4280,1995,43965,395.4446347
4281,1996,<5,5998.947057
4282,1996,>70,9930.900961
4283,1996,50-69,9497.662817
4284,1996,43965,388.6835831
4285,1997,<5,5519.920008
4286,1997,>70,9868.348842
4287,1997,50-69,9084.959946
4288,1997,43965,386.0140577
4289,1998,<5,5076.865615
4290,1998,>70,9917.716009
4291,1998,50-69,8699.541988
4292,1998,43965,378.3706555
4293,1999,<5,4645.602503
4294,1999,>70,9938.730914
4295,1999,50-69,8212.92791
4296,1999,43965,349.8891648
4297,2000,<5,4186.680232
4298,2000,>70,9981.196984
4299,2000,50-69,7939.157726
4300,2000,43965,318.6443242
4301,2001,<5,3782.170493
4302,2001,>70,10166.52196
4303,2001,50-69,7704.961298
4304,2001,43965,288.253772
4305,2002,<5,3440.235645
4306,2002,>70,10314.66484
4307,2002,50-69,7642.055419
4308,2002,43965,258.4179887
4309,2003,<5,3162.067628
4310,2003,>70,10477.80505
4311,2003,50-69,7575.299881
4312,2003,43965,231.2676808
4313,2004,<5,2927.132074
4314,2004,>70,10244.42565
4315,2004,50-69,7389.217309
4316,2004,43965,208.0176091
4317,2005,<5,2721.323671
4318,2005,>70,10024.57767
4319,2005,50-69,7181.091678
4320,2005,43965,191.1073976
4321,2006,<5,2521.598035
4322,2006,>70,9698.444181
4323,2006,50-69,6786.464363
4324,2006,43965,171.0714858
4325,2007,<5,2337.964548
4326,2007,>70,9391.898484
4327,2007,50-69,6341.154019
4328,2007,43965,155.7741855
4329,2008,<5,2182.446234
4330,2008,>70,9268.538789
4331,2008,50-69,5925.410964
4332,2008,43965,144.1046433
4333,2009,<5,2051.463171
4334,2009,>70,9038.541466
4335,2009,50-69,5565.725426
4336,2009,43965,133.7629825
4337,2010,<5,1915.921658
4338,2010,>70,8739.101249
4339,2010,50-69,5344.290989
4340,2010,43965,125.060351
4341,2011,<5,1771.196575
4342,2011,>70,8318.56729
4343,2011,50-69,5131.85446
4344,2011,43965,116.7335344
4345,2012,<5,1712.39916
4346,2012,>70,8149.888048
4347,2012,50-69,5212.876493
4348,2012,43965,112.8300951
4349,2013,<5,1639.154558
4350,2013,>70,7709.868006
4351,2013,50-69,5165.090428
4352,2013,43965,108.3877736
4353,2014,<5,1561.055118
4354,2014,>70,7372.826015
4355,2014,50-69,5274.930566
4356,2014,43965,103.242331
4357,2015,<5,1418.103083
4358,2015,>70,6876.13503
4359,2015,50-69,5194.499184
4360,2015,43965,99.6809048
4361,2016,<5,1339.670425
4362,2016,>70,6764.850565
4363,2016,50-69,5425.830653
4364,2016,43965,98.65026734
4365,2017,<5,1243.029549
4366,2017,>70,6488.915453
4367,2017,50-69,5451.805976
4368,2017,43965,95.86196347
4369,1990,<5,1200.738634
4370,1990,>70,21496.49538
4371,1990,50-69,14729.95709
4372,1990,43965,75.56015928
4373,1991,<5,1006.11079
4374,1991,>70,21019.73681
4375,1991,50-69,14466.43013
4376,1991,43965,67.2144096
4377,1992,<5,942.2189088
4378,1992,>70,20842.8549
4379,1992,50-69,14429.80876
4380,1992,43965,62.67764458
4381,1993,<5,872.9241974
4382,1993,>70,20261.72334
4383,1993,50-69,13957.34307
4384,1993,43965,59.61500243
4385,1994,<5,801.5931147
4386,1994,>70,19763.23819
4387,1994,50-69,13494.32692
4388,1994,43965,59.03089697
4389,1995,<5,672.949363
4390,1995,>70,19504.31754
4391,1995,50-69,13038.28625
4392,1995,43965,55.47427086
4393,1996,<5,610.8294375
4394,1996,>70,19180.45606
4395,1996,50-69,12389.96293
4396,1996,43965,54.37490604
4397,1997,<5,542.2674024
4398,1997,>70,18659.37156
4399,1997,50-69,11795.54873
4400,1997,43965,50.29857744
4401,1998,<5,449.8802228
4402,1998,>70,17673.3927
4403,1998,50-69,10789.07983
4404,1998,43965,43.74928139
4405,1999,<5,384.0716102
4406,1999,>70,17186.02336
4407,1999,50-69,10096.97042
4408,1999,43965,37.7942145
4409,2000,<5,331.2892371
4410,2000,>70,16455.50674
4411,2000,50-69,9369.97818
4412,2000,43965,31.29780614
4413,2001,<5,272.8390735
4414,2001,>70,15855.79268
4415,2001,50-69,8763.775238
4416,2001,43965,26.15772495
4417,2002,<5,233.2436269
4418,2002,>70,15607.53581
4419,2002,50-69,8327.163506
4420,2002,43965,23.36100544
4421,2003,<5,203.2050462
4422,2003,>70,15252.3635
4423,2003,50-69,7861.573661
4424,2003,43965,20.24991326
4425,2004,<5,182.7788821
4426,2004,>70,14767.65407
4427,2004,50-69,7392.068719
4428,2004,43965,17.6156478
4429,2005,<5,155.8862071
4430,2005,>70,14697.58231
4431,2005,50-69,7152.913526
4432,2005,43965,15.72031773
4433,2006,<5,133.9485159
4434,2006,>70,14187.78976
4435,2006,50-69,6725.76785
4436,2006,43965,13.74845524
4437,2007,<5,110.2391555
4438,2007,>70,13762.49093
4439,2007,50-69,6360.762865
4440,2007,43965,11.91888136
4441,2008,<5,96.44642557
4442,2008,>70,13351.63515
4443,2008,50-69,6040.082279
4444,2008,43965,10.58232953
4445,2009,<5,84.76178697
4446,2009,>70,13134.49972
4447,2009,50-69,5801.439066
4448,2009,43965,9.507240775
4449,2010,<5,74.1466844
4450,2010,>70,12829.03295
4451,2010,50-69,5513.003949
4452,2010,43965,8.484974356
4453,2011,<5,63.18655029
4454,2011,>70,12180.27106
4455,2011,50-69,5127.115832
4456,2011,43965,7.403076559
4457,2012,<5,58.07916995
4458,2012,>70,12300.26485
4459,2012,50-69,5127.35595
4460,2012,43965,6.994832982
4461,2013,<5,53.67494932
4462,2013,>70,11987.61391
4463,2013,50-69,5012.85144
4464,2013,43965,6.4894012
4465,2014,<5,50.41296282
4466,2014,>70,11831.03691
4467,2014,50-69,4961.934521
4468,2014,43965,6.040308825
4469,2015,<5,44.53980804
4470,2015,>70,11491.9533
4471,2015,50-69,4846.971389
4472,2015,43965,5.676318525
4473,2016,<5,40.78076815
4474,2016,>70,11306.79023
4475,2016,50-69,4793.4732
4476,2016,43965,5.390974111
4477,2017,<5,36.45786385
4478,2017,>70,10988.58736
4479,2017,50-69,4614.404152
4480,2017,43965,5.011544495
4481, and Central Asia",<5,
4482, and Central Asia",>70,1990
4483, and Central Asia",50-69,10175.75145
4484, and Central Asia",43965,39005.6786
4485, and Central Asia",<5,
