,Year,Age,Value
225,1990,<5,68.13217512
226,1990,>70,194.5307314
227,1990,50-69,157.1530107
228,1990,43965,4.222195732
229,1991,<5,54.3961921
230,1991,>70,173.0311682
231,1991,50-69,134.8188093
232,1991,43965,3.689694818
233,1992,<5,43.76498882
234,1992,>70,156.2349288
235,1992,50-69,118.2201164
236,1992,43965,3.258425791
237,1993,<5,40.10909871
238,1993,>70,159.7672609
239,1993,50-69,118.5228904
240,1993,43965,3.2469533
241,1994,<5,37.08736075
242,1994,>70,163.7338817
243,1994,50-69,119.350975
244,1994,43965,3.482364245
245,1995,<5,33.67160194
246,1995,>70,169.4097107
247,1995,50-69,121.7564357
248,1995,43965,3.388268653
249,1996,<5,30.69259812
250,1996,>70,166.6671008
251,1996,50-69,117.926611
252,1996,43965,3.286954742
253,1997,<5,28.49067547
254,1997,>70,163.7791337
255,1997,50-69,113.6255826
256,1997,43965,3.232194145
257,1998,<5,26.13259362
258,1998,>70,162.0800204
259,1998,50-69,110.2236337
260,1998,43965,3.059837632
261,1999,<5,24.33322229
262,1999,>70,165.937793
263,1999,50-69,110.5860091
264,1999,43965,2.93583171
265,2000,<5,20.97256445
266,2000,>70,158.7537034
267,2000,50-69,103.1819066
268,2000,43965,2.551610078
269,2001,<5,17.52187758
270,2001,>70,145.78779
271,2001,50-69,92.74197948
272,2001,43965,2.185254173
273,2002,<5,14.37324518
274,2002,>70,133.3930267
275,2002,50-69,82.9541613
276,2002,43965,1.829039765
277,2003,<5,12.05754325
278,2003,>70,126.4082386
279,2003,50-69,76.44296131
280,2003,43965,1.417132
281,2004,<5,10.40159835
282,2004,>70,118.3170828
283,2004,50-69,69.95618885
284,2004,43965,1.20464739
285,2005,<5,9.007939487
286,2005,>70,113.0009151
287,2005,50-69,65.29970551
288,2005,43965,1.027321554
289,2006,<5,7.618042156
290,2006,>70,100.5742145
291,2006,50-69,56.83730508
292,2006,43965,0.853169501
293,2007,<5,6.461913279
294,2007,>70,90.42005427
295,2007,50-69,50.30403558
296,2007,43965,0.714350789
297,2008,<5,5.291692063
298,2008,>70,81.55202629
299,2008,50-69,44.80095151
300,2008,43965,0.593319855
301,2009,<5,4.417560961
302,2009,>70,75.53835684
303,2009,50-69,41.00084837
304,2009,43965,0.502615505
305,2010,<5,3.668780201
306,2010,>70,71.17620801
307,2010,50-69,37.54815221
308,2010,43965,0.429720103
309,2011,<5,3.023292185
310,2011,>70,63.12911699
311,2011,50-69,33.26895055
312,2011,43965,0.359930003
313,2012,<5,2.510620199
314,2012,>70,56.98325628
315,2012,50-69,30.02931611
316,2012,43965,0.30614528
317,2013,<5,2.240909418
318,2013,>70,52.00677039
319,2013,50-69,27.18987603
320,2013,43965,0.289330929
321,2014,<5,1.998142718
322,2014,>70,46.80251119
323,2014,50-69,24.82321585
324,2014,43965,0.262142982
325,2015,<5,1.681647038
326,2015,>70,41.56346183
327,2015,50-69,22.73240767
328,2015,43965,0.221310558
329,2016,<5,1.289596009
330,2016,>70,35.01462572
331,2016,50-69,19.77125907
332,2016,43965,0.178512981
333,2017,<5,0.98719177
334,2017,>70,31.98113757
335,2017,50-69,18.41018166
336,2017,43965,0.147761969
337,1990,<5,0.538421445
338,1990,>70,3.487376522
339,1990,50-69,4.131259746
340,1990,43965,0.047285177
341,1991,<5,0.513713821
